# V127 播客音频URL映射表
# 格式: id|title|new_url

1|青少年高效记忆法全攻略|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_b2ff66a9-c071-4912-84a7-51f174fd69a2.mp3?sign=1808822218-8a2b090761-0-db0b581cf15d5b549a623ffb6c882f7614bd5a52476bb36c7923398ca409fa2e

2|青少年高效笔记法大揭秘|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_2fd6258b-4ebd-49a9-b1a8-20e8a3bfc750.mp3?sign=1808822237-742cb735e5-0-7c9279fb8f5480d82654cddd5352da5266e2f317c6d5b82d9ba9d0b0ad27e949

3|青少年高效时间管理秘籍|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_c5a06139-dfe9-4a14-94ba-c4d7b4625415.mp3?sign=1808822260-6f500b4d28-0-22cd0458027452b72a475fefc73d0a0ba5b3d3751d601e4212544fb2a1aa9f76

4|青少年高效复习策略指南|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_07040e43-b7ad-46d4-9713-21a6c6042b74.mp3?sign=1808822280-ffd1dd4d3b-0-6431d1416b2b2a3b1f95d5f6f9e83aaef2d488610c77c115f7821dfa2f28f0d6

5|三招提升青少年专注力|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_de865d7b-5968-40eb-ab49-1c2c8267b91a.mp3?sign=1808822299-57d9bb9b64-0-3ea6ff42e8b9c864cf4cd90b0ffb7d65cb7b7b751cb41db81e82e6eb62cdd9db

6|青少年语文思维训练秘籍|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_dd67352a-9393-459b-a1f1-6bda3e18f981.mp3?sign=1808822317-56d7f651b3-0-28417c62e06224c9cf80f35f8af989626ffc33d2e2502c3130785368e9ce09bd

7|青少年英语思维训练秘籍|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_ac794835-56ea-4d8b-9235-c66734d871fd.mp3?sign=1808822337-025aeaf324-0-61003ca935760bda5b4b100466e092f616ea1e54b4ac66c50ca03d1a7aeaa13c

8|青少年考试通关秘籍大公开|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_3c6ecfdb-240c-4c43-ae42-517e9500191a.mp3?sign=1808822357-e1bb3cce5d-0-d9f0b91e85630533e0f17758561b9a94fc854681da05897c006f1648ecf0789c

9|学霸私藏！高效解题策略大揭秘|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_7fde4727-ef0e-4223-b2a6-6cfb161ebe1e.mp3?sign=1808822377-6614d63cf1-0-c26f088cbea7ffde60aa608f4cb3447409f90aec8daaecef46f9f66f0bf211d5

10|学霸秘籍：深度理解知识建构法|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_0aba77f8-7f80-40ff-8162-cb05249a77d4.mp3?sign=1808822396-aff28ed097-0-aed572ea8f7a273ef46a32d5c1e0251a9e5bda3c0c4b89b8c01ea57d9a34e466

11|揭秘数学五大思维，解题变简单！|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_fce14f3a-0b27-4031-a759-b98a9b4f5462.mp3?sign=1808822415-02cbf44b7d-0-aec82b483efb8d5167092306269e819aa51c07b96585b476935c5c9a8dfdf916

12|青少年数学思维：抽象与推理|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_74377773-4613-433b-8770-6e71617143c5.mp3?sign=1808822437-e3fc320231-0-1fd1d97d9432139f1306256dcf8c0a28134fc0a1ffb56143dce1b7603e4000a2

13|青少年数学思维：数形结合专项|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_a9c2d6ef-39f7-4e9e-9ad0-dfbd617da342.mp3?sign=1808822460-e852b8517d-0-d3931869e74bedc74ff0dfea0159aa447af3b9f6f32b697fd5deca9f0e7a3697

14|青少年数学建模思维入门指南|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_9a49ac3b-fc52-4b46-b49a-f167b9f69666.mp3?sign=1808822480-b008c57b10-0-a7decfcb0caafc899c866bddac69113034895e0a21ef1c703b501e2025a63435

15|青少年数学逆向思维专项课|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_e4133953-42e9-40ab-8d38-353a0af47b67.mp3?sign=1808822502-b4486d965a-0-1963b371579adcde889413e4f09cc769baeaf20133ffa8362a8eb69bcb0f2258

16|青少年物理思维：因果与守恒|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_cf2e54de-0e8d-4e99-961d-177c36d77c85.mp3?sign=1808822523-a5faca0e98-0-7b07032ede86cf98f91fceceea78d5ae43de8e2fa60e8f31016865c6b780a0b9

17|青少年物理模型思维入门指南|https://coze-coding-project.tos.coze.site/coze_storage_7630375842421407780/audio/tts_acbd098a-be94-4246-bcb2-31648cb28f74.mp3?sign=1808822546-5f85da809d-0-4d2e65d676727ae5fb4818d7b0e886cf21d6cce96a5e72771bb5dd041988f56e

